Anciborko;2;2;4;1;4;0;2;1024;1;0
Ibragimov;8;1;8;1;8;1;1;2048;2;5
Gurov;4;0;4;2;1;0;3;1024;3;1
Ivanov;2;3;16;1;16;0;8;4048;4;4
Khalimov;1;0;1;2;1;0;1;1;5;0
Ramaldanov;2;2;4;1;4;0;2;1024;6;0
Formalev;1;3;8;1;2;1;1;2048;7;2
Goryunov;4;0;4;2;1;0;3;1024;8;1
Zinoviev;2;3;16;1;16;0;8;4048;9;4
Bylkova;1;0;1;2;1;0;1;1;10;1
Nemkova;2;2;4;1;4;0;2;1024;11;0
Starostina;1;3;8;1;2;1;1;2048;12;2
Dozhd;4;0;4;2;1;0;3;1024;13;3
Klimov;2;3;16;1;16;0;8;4048;14;4
Khaev;1;0;1;2;1;0;1;1;15;4
Kalashnikov;2;2;4;1;4;0;2;1024;16;0
Zaycev;1;3;8;1;2;1;1;2048;17;2
Blinova;4;0;4;2;1;0;3;1024;18;1
Musaelyan;2;3;16;1;16;0;8;4048;19;4
Erofeeva;1;0;1;2;1;0;1;1;20;4
